subject_id,npz_path,metric,win_sec,stride_sec,seg1,seg2,distance
subject16,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject16.npz,l2_norm,15,5,10-25,15-30,0.3795807816042756
subject17,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject17.npz,l2_norm,15,5,0-15,5-20,0.9189865017978444
subject17,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject17.npz,l2_norm,15,5,0-15,10-25,0.560548116572613
subject17,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject17.npz,l2_norm,15,5,0-15,15-30,0.6406026237843853
subject17,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject17.npz,l2_norm,15,5,5-20,10-25,0.8595761876728026
subject17,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject17.npz,l2_norm,15,5,5-20,15-30,1.056200578816779
subject17,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject17.npz,l2_norm,15,5,10-25,15-30,0.5008714521816511
subject18,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject18.npz,l2_norm,15,5,0-15,5-20,0.8923787630910753
subject18,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject18.npz,l2_norm,15,5,0-15,10-25,1.0648015493545415
subject18,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject18.npz,l2_norm,15,5,0-15,15-30,1.1377848730025801
subject18,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject18.npz,l2_norm,15,5,5-20,10-25,0.6703542419691002
subject18,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject18.npz,l2_norm,15,5,5-20,15-30,0.930762199060154
subject18,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject18.npz,l2_norm,15,5,10-25,15-30,0.5551363345974433
subject20,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject20.npz,l2_norm,15,5,0-15,5-20,0.6105448852316087
subject20,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject20.npz,l2_norm,15,5,0-15,10-25,0.8562681720512204
subject20,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject20.npz,l2_norm,15,5,0-15,15-30,0.9808341286701335
subject20,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject20.npz,l2_norm,15,5,5-20,10-25,0.6186224144895256
subject20,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject20.npz,l2_norm,15,5,5-20,15-30,0.8146909901032794
subject20,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject20.npz,l2_norm,15,5,10-25,15-30,0.3483444854893918
subject22,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject22.npz,l2_norm,15,5,0-15,5-20,0.3836843331746909
subject22,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject22.npz,l2_norm,15,5,0-15,10-25,0.7794047079456647
subject22,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject22.npz,l2_norm,15,5,0-15,15-30,0.8914977687309588
subject22,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject22.npz,l2_norm,15,5,5-20,10-25,0.8040372943745656
subject22,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject22.npz,l2_norm,15,5,5-20,15-30,0.9127295498589686
subject22,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject22.npz,l2_norm,15,5,10-25,15-30,0.5099714019856291
subject23,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject23.npz,l2_norm,15,5,0-15,5-20,0.5100046007699092
subject23,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject23.npz,l2_norm,15,5,0-15,10-25,0.6012576619484469
subject23,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject23.npz,l2_norm,15,5,0-15,15-30,0.7324374220734571
subject23,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject23.npz,l2_norm,15,5,5-20,10-25,0.3975675403314976
subject23,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject23.npz,l2_norm,15,5,5-20,15-30,0.5581992117589292
subject23,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject23.npz,l2_norm,15,5,10-25,15-30,0.42499983520197193
subject24,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject24.npz,l2_norm,15,5,0-15,5-20,0.5878166391842784
subject24,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject24.npz,l2_norm,15,5,0-15,10-25,0.9760532423049342
subject24,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject24.npz,l2_norm,15,5,0-15,15-30,0.6880589204364571
subject24,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject24.npz,l2_norm,15,5,5-20,10-25,0.7179095477083486
subject24,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject24.npz,l2_norm,15,5,5-20,15-30,0.7833436769144712
subject24,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject24.npz,l2_norm,15,5,10-25,15-30,0.7854320962776605
subject25,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject25.npz,l2_norm,15,5,0-15,5-20,0.6788170238210276
subject25,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject25.npz,l2_norm,15,5,0-15,10-25,0.9029067815736909
subject25,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject25.npz,l2_norm,15,5,0-15,15-30,0.8175879663810192
subject25,/afs/crc.nd.edu/group/cvrl/scratch_34/jspeth/preprocessed/UBFC_rPPG/subject25.npz,l2_norm,15,5,5-20,10-25,0.9836430869159744
